Epidemiology Wk,Start,End,Disease,Cases
49,3/12/2017,9/12/2017,Cholera,0
50,10/12/2017,16/12/2017,Cholera,0
51,17/12/2017,23/12/2017,Cholera,0
52,24/12/2017,30/12/2017,Cholera,0
53,31/12/2017,6/1/2018,Cholera,0
54,7/1/2018,13/1/2018,Cholera,0
55,14/1/2018,20/1/2018,Cholera,0
56,21/1/2018,27/1/2018,Cholera,0
57,28/1/2018,3/2/2018,Cholera,1
58,4/2/2018,10/2/2018,Cholera,0
59,11/2/2018,17/2/2018,Cholera,0
60,18/2/2018,24/2/2018,Cholera,0
61,25/2/2018,3/3/2018,Cholera,0
62,4/3/2018,10/3/2018,Cholera,0
63,11/3/2018,17/3/2018,Cholera,0
64,18/3/2018,24/3/2018,Cholera,0
65,25/3/2018,31/3/2018,Cholera,0
66,1/4/2018,7/4/2018,Cholera,0
67,8/4/2018,14/4/2018,Cholera,0
68,15/4/2018,21/4/2018,Cholera,0
69,22/4/2018,28/4/2018,Cholera,0
70,29/4/2018,5/5/2018,Cholera,0
71,6/5/2018,12/5/2018,Cholera,0
72,13/5/2018,19/5/2018,Cholera,0
73,20/5/2018,26/5/2018,Cholera,0
74,27/5/2018,2/6/2018,Cholera,0
75,3/6/2018,9/6/2018,Cholera,0
76,10/6/2018,16/6/2018,Cholera,0
77,17/6/2018,23/6/2018,Cholera,0
78,24/6/2018,30/6/2018,Cholera,0
79,1/7/2018,7/7/2018,Cholera,0
80,8/7/2018,14/7/2018,Cholera,0
81,15/7/2018,21/7/2018,Cholera,0
82,22/7/2018,28/7/2018,Cholera,0
83,29/7/2018,4/8/2018,Cholera,0
84,5/8/2018,11/8/2018,Cholera,0
85,12/8/2018,18/8/2018,Cholera,0
86,19/8/2018,25/8/2018,Cholera,1
87,26/8/2018,1/9/2018,Cholera,0
88,2/9/2018,8/9/2018,Cholera,0
89,9/9/2018,15/9/2018,Cholera,0
90,16/9/2018,22/9/2018,Cholera,0
91,23/9/2018,29/9/2018,Cholera,0
92,30/9/2018,6/10/2018,Cholera,0
93,7/10/2018,13/10/2018,Cholera,0
94,14/10/2018,20/10/2018,Cholera,0
95,21/10/2018,27/10/2018,Cholera,0
96,28/10/2018,3/11/2018,Cholera,0
97,4/11/2018,10/11/2018,Cholera,0
98,11/11/2018,17/11/2018,Cholera,0
99,18/11/2018,24/11/2018,Cholera,0
100,25/11/2018,1/12/2018,Cholera,0
101,2/12/2018,8/12/2018,Cholera,0
102,9/12/2018,15/12/2018,Cholera,0
103,16/12/2018,22/12/2018,Cholera,0
104,23/12/2018,29/12/2018,Cholera,0
105,30/12/2018,5/1/2019,Cholera,0
106,6/1/2019,12/1/2019,Cholera,0
107,13/1/2019,19/1/2019,Cholera,0
108,20/1/2019,26/1/2019,Cholera,0
109,27/1/2019,2/2/2019,Cholera,0
110,3/2/2019,9/2/2019,Cholera,0
111,10/2/2019,16/2/2019,Cholera,0
112,17/2/2019,23/2/2019,Cholera,0
113,24/2/2019,2/3/2019,Cholera,0
114,3/3/2019,9/3/2019,Cholera,1
115,10/3/2019,16/3/2019,Cholera,0
116,17/3/2019,23/3/2019,Cholera,0
117,24/3/2019,30/3/2019,Cholera,0
118,31/3/2019,6/4/2019,Cholera,0
119,7/4/2019,13/4/2019,Cholera,0
120,14/4/2019,20/4/2019,Cholera,0
121,21/4/2019,27/4/2019,Cholera,0
122,28/4/2019,4/5/2019,Cholera,0
123,5/5/2019,11/5/2019,Cholera,0
124,12/5/2019,18/5/2019,Cholera,0
125,19/5/2019,25/5/2019,Cholera,0
126,26/5/2019,1/6/2019,Cholera,0
127,2/6/2019,8/6/2019,Cholera,0
128,9/6/2019,15/6/2019,Cholera,0
129,16/6/2019,22/6/2019,Cholera,0
130,23/6/2019,29/6/2019,Cholera,0
131,30/6/2019,6/7/2019,Cholera,0
132,7/7/2019,13/7/2019,Cholera,0
133,14/7/2019,20/7/2019,Cholera,1
134,21/7/2019,27/7/2019,Cholera,0
135,28/7/2019,3/8/2019,Cholera,0
136,4/8/2019,10/8/2019,Cholera,0
137,11/8/2019,17/8/2019,Cholera,0
138,18/8/2019,24/8/2019,Cholera,0
139,25/8/2019,31/8/2019,Cholera,0
140,1/9/2019,7/9/2019,Cholera,0
141,8/9/2019,14/9/2019,Cholera,0
142,15/9/2019,21/9/2019,Cholera,0
143,22/9/2019,28/9/2019,Cholera,0
144,29/9/2019,5/10/2019,Cholera,0
145,6/10/2019,12/10/2019,Cholera,0
146,13/10/2019,19/10/2019,Cholera,0
147,20/10/2019,26/10/2019,Cholera,0
148,27/10/2019,2/11/2019,Cholera,0
149,3/11/2019,9/11/2019,Cholera,0
150,10/11/2019,16/11/2019,Cholera,0
151,17/11/2019,23/11/2019,Cholera,0
152,24/11/2019,30/11/2019,Cholera,0
153,1/12/2019,7/12/2019,Cholera,0
154,8/12/2019,14/12/2019,Cholera,0
155,15/12/2019,21/12/2019,Cholera,0
156,22/12/2019,28/12/2019,Cholera,0
157,29/12/2019,4/1/2020,Cholera,0
158,5/1/2020,11/1/2020,Cholera,0
159,12/1/2020,18/1/2020,Cholera,0
160,19/1/2020,25/1/2020,Cholera,0
161,26/1/2020,1/2/2020,Cholera,0
162,2/2/2020,8/2/2020,Cholera,0
163,9/2/2020,15/2/2020,Cholera,0
164,16/2/2020,22/2/2020,Cholera,0
165,23/2/2020,29/2/2020,Cholera,0
166,1/3/2020,7/3/2020,Cholera,0
167,8/3/2020,14/3/2020,Cholera,0
168,15/3/2020,21/3/2020,Cholera,0
169,22/3/2020,28/3/2020,Cholera,0
170,29/3/2020,4/4/2020,Cholera,0
171,5/4/2020,11/4/2020,Cholera,0
172,12/4/2020,18/4/2020,Cholera,0
173,19/4/2020,25/4/2020,Cholera,0
174,26/4/2020,2/5/2020,Cholera,0
175,3/5/2020,9/5/2020,Cholera,0
176,10/5/2020,16/5/2020,Cholera,0
177,17/5/2020,23/5/2020,Cholera,0
178,24/5/2020,30/5/2020,Cholera,0
179,31/5/2020,6/6/2020,Cholera,0
180,7/6/2020,13/6/2020,Cholera,0
181,14/6/2020,20/6/2020,Cholera,0
182,21/6/2020,27/6/2020,Cholera,0
183,28/6/2020,4/7/2020,Cholera,0
184,5/7/2020,11/7/2020,Cholera,0
185,12/7/2020,18/7/2020,Cholera,0
186,19/7/2020,25/7/2020,Cholera,0
187,26/7/2020,1/8/2020,Cholera,0
188,2/8/2020,8/8/2020,Cholera,0
189,9/8/2020,15/8/2020,Cholera,0
190,16/8/2020,22/8/2020,Cholera,0
191,23/8/2020,29/8/2020,Cholera,0
192,30/8/2020,5/9/2020,Cholera,0
193,6/9/2020,12/9/2020,Cholera,0
194,13/9/2020,19/9/2020,Cholera,0
195,20/9/2020,26/9/2020,Cholera,0
196,27/9/2020,3/10/2020,Cholera,0
197,4/10/2020,10/10/2020,Cholera,0
198,11/10/2020,17/10/2020,Cholera,0
199,18/10/2020,24/10/2020,Cholera,0
200,25/10/2020,31/10/2020,Cholera,0
201,1/11/2020,7/11/2020,Cholera,0
202,8/11/2020,14/11/2020,Cholera,0
203,15/11/2020,21/11/2020,Cholera,0
204,22/11/2020,28/11/2020,Cholera,0
205,29/11/2020,5/12/2020,Cholera,0
206,6/12/2020,12/12/2020,Cholera,0
207,13/12/2020,19/12/2020,Cholera,0
208,20/12/2020,26/12/2020,Cholera,0
209,27/12/2020,2/1/2021,Cholera,0
1,1/1/2017,7/1/2017,Paratyphoid ,3
2,8/1/2017,14/1/2017,Paratyphoid ,1
3,15/1/2017,21/1/2017,Paratyphoid ,0
4,22/1/2017,28/1/2017,Paratyphoid ,0
5,29/1/2017,4/2/2017,Paratyphoid ,1
6,5/2/2017,11/2/2017,Paratyphoid ,0
7,12/2/2017,18/2/2017,Paratyphoid ,0
8,19/2/2017,25/2/2017,Paratyphoid ,1
9,26/2/2017,4/3/2017,Paratyphoid ,0
10,5/3/2017,11/3/2017,Paratyphoid ,0
11,12/3/2017,18/3/2017,Paratyphoid ,0
12,19/3/2017,25/3/2017,Paratyphoid ,0
13,26/3/2017,1/4/2017,Paratyphoid ,0
14,2/4/2017,8/4/2017,Paratyphoid ,0
15,9/4/2017,15/4/2017,Paratyphoid ,0
16,16/4/2017,22/4/2017,Paratyphoid ,0
17,23/4/2017,29/4/2017,Paratyphoid ,0
18,30/4/2017,6/5/2017,Paratyphoid ,1
19,7/5/2017,13/5/2017,Paratyphoid ,1
20,14/5/2017,20/5/2017,Paratyphoid ,0
21,21/5/2017,27/5/2017,Paratyphoid ,1
22,28/5/2017,3/6/2017,Paratyphoid ,0
23,4/6/2017,10/6/2017,Paratyphoid ,0
24,11/6/2017,17/6/2017,Paratyphoid ,0
25,18/6/2017,24/6/2017,Paratyphoid ,1
26,25/6/2017,1/7/2017,Paratyphoid ,0
27,2/7/2017,8/7/2017,Paratyphoid ,1
28,9/7/2017,15/7/2017,Paratyphoid ,1
29,16/7/2017,22/7/2017,Paratyphoid ,1
30,23/7/2017,29/7/2017,Paratyphoid ,1
31,30/7/2017,5/8/2017,Paratyphoid ,0
32,6/8/2017,12/8/2017,Paratyphoid ,0
33,13/8/2017,19/8/2017,Paratyphoid ,0
34,20/8/2017,26/8/2017,Paratyphoid ,0
35,27/8/2017,2/9/2017,Paratyphoid ,0
36,3/9/2017,9/9/2017,Paratyphoid ,0
37,10/9/2017,16/9/2017,Paratyphoid ,1
38,17/9/2017,23/9/2017,Paratyphoid ,1
39,24/9/2017,30/9/2017,Paratyphoid ,0
40,1/10/2017,7/10/2017,Paratyphoid ,0
41,8/10/2017,14/10/2017,Paratyphoid ,0
42,15/10/2017,21/10/2017,Paratyphoid ,0
43,22/10/2017,28/10/2017,Paratyphoid ,0
44,29/10/2017,4/11/2017,Paratyphoid ,0
45,5/11/2017,11/11/2017,Paratyphoid ,0
46,12/11/2017,18/11/2017,Paratyphoid ,0
47,19/11/2017,25/11/2017,Paratyphoid ,0
48,26/11/2017,2/12/2017,Paratyphoid ,0
49,3/12/2017,9/12/2017,Paratyphoid ,0
50,10/12/2017,16/12/2017,Paratyphoid ,0
51,17/12/2017,23/12/2017,Paratyphoid ,0
52,24/12/2017,30/12/2017,Paratyphoid ,0
53,31/12/2017,6/1/2018,Paratyphoid ,1
54,7/1/2018,13/1/2018,Paratyphoid ,1
55,14/1/2018,20/1/2018,Paratyphoid ,0
56,21/1/2018,27/1/2018,Paratyphoid ,1
57,28/1/2018,3/2/2018,Paratyphoid ,0
58,4/2/2018,10/2/2018,Paratyphoid ,1
59,11/2/2018,17/2/2018,Paratyphoid ,0
60,18/2/2018,24/2/2018,Paratyphoid ,0
61,25/2/2018,3/3/2018,Paratyphoid ,1
62,4/3/2018,10/3/2018,Paratyphoid ,0
63,11/3/2018,17/3/2018,Paratyphoid ,0
64,18/3/2018,24/3/2018,Paratyphoid ,0
65,25/3/2018,31/3/2018,Paratyphoid ,0
66,1/4/2018,7/4/2018,Paratyphoid ,0
67,8/4/2018,14/4/2018,Paratyphoid ,0
68,15/4/2018,21/4/2018,Paratyphoid ,1
69,22/4/2018,28/4/2018,Paratyphoid ,0
70,29/4/2018,5/5/2018,Paratyphoid ,0
71,6/5/2018,12/5/2018,Paratyphoid ,0
72,13/5/2018,19/5/2018,Paratyphoid ,0
73,20/5/2018,26/5/2018,Paratyphoid ,1
74,27/5/2018,2/6/2018,Paratyphoid ,0
75,3/6/2018,9/6/2018,Paratyphoid ,0
76,10/6/2018,16/6/2018,Paratyphoid ,0
77,17/6/2018,23/6/2018,Paratyphoid ,0
78,24/6/2018,30/6/2018,Paratyphoid ,0
79,1/7/2018,7/7/2018,Paratyphoid ,1
80,8/7/2018,14/7/2018,Paratyphoid ,0
81,15/7/2018,21/7/2018,Paratyphoid ,1
82,22/7/2018,28/7/2018,Paratyphoid ,0
83,29/7/2018,4/8/2018,Paratyphoid ,0
84,5/8/2018,11/8/2018,Paratyphoid ,1
85,12/8/2018,18/8/2018,Paratyphoid ,1
86,19/8/2018,25/8/2018,Paratyphoid ,1
87,26/8/2018,1/9/2018,Paratyphoid ,0
88,2/9/2018,8/9/2018,Paratyphoid ,0
89,9/9/2018,15/9/2018,Paratyphoid ,0
90,16/9/2018,22/9/2018,Paratyphoid ,0
91,23/9/2018,29/9/2018,Paratyphoid ,1
92,30/9/2018,6/10/2018,Paratyphoid ,0
93,7/10/2018,13/10/2018,Paratyphoid ,0
94,14/10/2018,20/10/2018,Paratyphoid ,0
95,21/10/2018,27/10/2018,Paratyphoid ,0
96,28/10/2018,3/11/2018,Paratyphoid ,0
97,4/11/2018,10/11/2018,Paratyphoid ,0
98,11/11/2018,17/11/2018,Paratyphoid ,0
99,18/11/2018,24/11/2018,Paratyphoid ,1
100,25/11/2018,1/12/2018,Paratyphoid ,0
101,2/12/2018,8/12/2018,Paratyphoid ,0
102,9/12/2018,15/12/2018,Paratyphoid ,1
103,16/12/2018,22/12/2018,Paratyphoid ,0
104,23/12/2018,29/12/2018,Paratyphoid ,1
105,30/12/2018,5/1/2019,Paratyphoid ,0
106,6/1/2019,12/1/2019,Paratyphoid ,2
107,13/1/2019,19/1/2019,Paratyphoid ,0
108,20/1/2019,26/1/2019,Paratyphoid ,2
109,27/1/2019,2/2/2019,Paratyphoid ,0
110,3/2/2019,9/2/2019,Paratyphoid ,0
111,10/2/2019,16/2/2019,Paratyphoid ,0
112,17/2/2019,23/2/2019,Paratyphoid ,0
113,24/2/2019,2/3/2019,Paratyphoid ,0
114,3/3/2019,9/3/2019,Paratyphoid ,0
115,10/3/2019,16/3/2019,Paratyphoid ,0
116,17/3/2019,23/3/2019,Paratyphoid ,0
117,24/3/2019,30/3/2019,Paratyphoid ,0
118,31/3/2019,6/4/2019,Paratyphoid ,0
119,7/4/2019,13/4/2019,Paratyphoid ,0
120,14/4/2019,20/4/2019,Paratyphoid ,0
121,21/4/2019,27/4/2019,Paratyphoid ,0
122,28/4/2019,4/5/2019,Paratyphoid ,2
123,5/5/2019,11/5/2019,Paratyphoid ,0
124,12/5/2019,18/5/2019,Paratyphoid ,0
125,19/5/2019,25/5/2019,Paratyphoid ,0
126,26/5/2019,1/6/2019,Paratyphoid ,0
127,2/6/2019,8/6/2019,Paratyphoid ,0
128,9/6/2019,15/6/2019,Paratyphoid ,1
129,16/6/2019,22/6/2019,Paratyphoid ,0
130,23/6/2019,29/6/2019,Paratyphoid ,0
131,30/6/2019,6/7/2019,Paratyphoid ,0
132,7/7/2019,13/7/2019,Paratyphoid ,0
133,14/7/2019,20/7/2019,Paratyphoid ,1
134,21/7/2019,27/7/2019,Paratyphoid ,0
135,28/7/2019,3/8/2019,Paratyphoid ,0
136,4/8/2019,10/8/2019,Paratyphoid ,0
137,11/8/2019,17/8/2019,Paratyphoid ,0
138,18/8/2019,24/8/2019,Paratyphoid ,0
139,25/8/2019,31/8/2019,Paratyphoid ,1
140,1/9/2019,7/9/2019,Paratyphoid ,0
141,8/9/2019,14/9/2019,Paratyphoid ,0
142,15/9/2019,21/9/2019,Paratyphoid ,0
143,22/9/2019,28/9/2019,Paratyphoid ,0
144,29/9/2019,5/10/2019,Paratyphoid ,0
145,6/10/2019,12/10/2019,Paratyphoid ,0
146,13/10/2019,19/10/2019,Paratyphoid ,0
147,20/10/2019,26/10/2019,Paratyphoid ,0
148,27/10/2019,2/11/2019,Paratyphoid ,0
149,3/11/2019,9/11/2019,Paratyphoid ,0
150,10/11/2019,16/11/2019,Paratyphoid ,0
151,17/11/2019,23/11/2019,Paratyphoid ,1
152,24/11/2019,30/11/2019,Paratyphoid ,1
153,1/12/2019,7/12/2019,Paratyphoid ,1
154,8/12/2019,14/12/2019,Paratyphoid ,0
155,15/12/2019,21/12/2019,Paratyphoid ,0
156,22/12/2019,28/12/2019,Paratyphoid ,0
157,29/12/2019,4/1/2020,Paratyphoid ,0
158,5/1/2020,11/1/2020,Paratyphoid ,1
159,12/1/2020,18/1/2020,Paratyphoid ,0
160,19/1/2020,25/1/2020,Paratyphoid ,1
161,26/1/2020,1/2/2020,Paratyphoid ,0
162,2/2/2020,8/2/2020,Paratyphoid ,0
163,9/2/2020,15/2/2020,Paratyphoid ,0
164,16/2/2020,22/2/2020,Paratyphoid ,1
165,23/2/2020,29/2/2020,Paratyphoid ,2
166,1/3/2020,7/3/2020,Paratyphoid ,1
167,8/3/2020,14/3/2020,Paratyphoid ,1
168,15/3/2020,21/3/2020,Paratyphoid ,0
169,22/3/2020,28/3/2020,Paratyphoid ,0
170,29/3/2020,4/4/2020,Paratyphoid ,2
171,5/4/2020,11/4/2020,Paratyphoid ,0
172,12/4/2020,18/4/2020,Paratyphoid ,0
173,19/4/2020,25/4/2020,Paratyphoid ,1
174,26/4/2020,2/5/2020,Paratyphoid ,0
175,3/5/2020,9/5/2020,Paratyphoid ,0
176,10/5/2020,16/5/2020,Paratyphoid ,0
177,17/5/2020,23/5/2020,Paratyphoid ,0
178,24/5/2020,30/5/2020,Paratyphoid ,0
179,31/5/2020,6/6/2020,Paratyphoid ,0
180,7/6/2020,13/6/2020,Paratyphoid ,0
181,14/6/2020,20/6/2020,Paratyphoid ,0
182,21/6/2020,27/6/2020,Paratyphoid ,0
183,28/6/2020,4/7/2020,Paratyphoid ,0
184,5/7/2020,11/7/2020,Paratyphoid ,0
185,12/7/2020,18/7/2020,Paratyphoid ,0
186,19/7/2020,25/7/2020,Paratyphoid ,0
187,26/7/2020,1/8/2020,Paratyphoid ,0
188,2/8/2020,8/8/2020,Paratyphoid ,0
189,9/8/2020,15/8/2020,Paratyphoid ,0
190,16/8/2020,22/8/2020,Paratyphoid ,0
191,23/8/2020,29/8/2020,Paratyphoid ,0
192,30/8/2020,5/9/2020,Paratyphoid ,0
193,6/9/2020,12/9/2020,Paratyphoid ,0
194,13/9/2020,19/9/2020,Paratyphoid ,0
195,20/9/2020,26/9/2020,Paratyphoid ,0
196,27/9/2020,3/10/2020,Paratyphoid ,0
197,4/10/2020,10/10/2020,Paratyphoid ,0
198,11/10/2020,17/10/2020,Paratyphoid ,0
199,18/10/2020,24/10/2020,Paratyphoid ,0
200,25/10/2020,31/10/2020,Paratyphoid ,0
201,1/11/2020,7/11/2020,Paratyphoid ,0
202,8/11/2020,14/11/2020,Paratyphoid ,0
203,15/11/2020,21/11/2020,Paratyphoid ,0
204,22/11/2020,28/11/2020,Paratyphoid ,0
205,29/11/2020,5/12/2020,Paratyphoid ,0
206,6/12/2020,12/12/2020,Paratyphoid ,0
207,13/12/2020,19/12/2020,Paratyphoid ,0
208,20/12/2020,26/12/2020,Paratyphoid ,0
209,27/12/2020,2/1/2021,Paratyphoid ,0
1,1/1/2017,7/1/2017,Typhoid ,3
2,8/1/2017,14/1/2017,Typhoid ,4
3,15/1/2017,21/1/2017,Typhoid ,3
4,22/1/2017,28/1/2017,Typhoid ,2
5,29/1/2017,4/2/2017,Typhoid ,6
6,5/2/2017,11/2/2017,Typhoid ,0
7,12/2/2017,18/2/2017,Typhoid ,4
8,19/2/2017,25/2/2017,Typhoid ,0
9,26/2/2017,4/3/2017,Typhoid ,1
10,5/3/2017,11/3/2017,Typhoid ,0
11,12/3/2017,18/3/2017,Typhoid ,1
12,19/3/2017,25/3/2017,Typhoid ,0
13,26/3/2017,1/4/2017,Typhoid ,0
14,2/4/2017,8/4/2017,Typhoid ,2
15,9/4/2017,15/4/2017,Typhoid ,1
16,16/4/2017,22/4/2017,Typhoid ,1
17,23/4/2017,29/4/2017,Typhoid ,1
18,30/4/2017,6/5/2017,Typhoid ,1
19,7/5/2017,13/5/2017,Typhoid ,0
20,14/5/2017,20/5/2017,Typhoid ,0
21,21/5/2017,27/5/2017,Typhoid ,0
22,28/5/2017,3/6/2017,Typhoid ,2
23,4/6/2017,10/6/2017,Typhoid ,0
24,11/6/2017,17/6/2017,Typhoid ,2
25,18/6/2017,24/6/2017,Typhoid ,1
26,25/6/2017,1/7/2017,Typhoid ,1
27,2/7/2017,8/7/2017,Typhoid ,1
28,9/7/2017,15/7/2017,Typhoid ,1
29,16/7/2017,22/7/2017,Typhoid ,1
30,23/7/2017,29/7/2017,Typhoid ,0
31,30/7/2017,5/8/2017,Typhoid ,0
32,6/8/2017,12/8/2017,Typhoid ,3
33,13/8/2017,19/8/2017,Typhoid ,0
34,20/8/2017,26/8/2017,Typhoid ,2
35,27/8/2017,2/9/2017,Typhoid ,1
36,3/9/2017,9/9/2017,Typhoid ,1
37,10/9/2017,16/9/2017,Typhoid ,0
38,17/9/2017,23/9/2017,Typhoid ,1
39,24/9/2017,30/9/2017,Typhoid ,0
40,1/10/2017,7/10/2017,Typhoid ,1
41,8/10/2017,14/10/2017,Typhoid ,3
42,15/10/2017,21/10/2017,Typhoid ,1
43,22/10/2017,28/10/2017,Typhoid ,2
44,29/10/2017,4/11/2017,Typhoid ,2
45,5/11/2017,11/11/2017,Typhoid ,1
46,12/11/2017,18/11/2017,Typhoid ,0
47,19/11/2017,25/11/2017,Typhoid ,1
48,26/11/2017,2/12/2017,Typhoid ,3
49,3/12/2017,9/12/2017,Typhoid ,1
50,10/12/2017,16/12/2017,Typhoid ,1
51,17/12/2017,23/12/2017,Typhoid ,1
52,24/12/2017,30/12/2017,Typhoid ,1
53,31/12/2017,6/1/2018,Typhoid ,1
54,7/1/2018,13/1/2018,Typhoid ,1
55,14/1/2018,20/1/2018,Typhoid ,0
56,21/1/2018,27/1/2018,Typhoid ,3
57,28/1/2018,3/2/2018,Typhoid ,0
58,4/2/2018,10/2/2018,Typhoid ,1
59,11/2/2018,17/2/2018,Typhoid ,0
60,18/2/2018,24/2/2018,Typhoid ,2
61,25/2/2018,3/3/2018,Typhoid ,1
62,4/3/2018,10/3/2018,Typhoid ,0
63,11/3/2018,17/3/2018,Typhoid ,0
64,18/3/2018,24/3/2018,Typhoid ,0
65,25/3/2018,31/3/2018,Typhoid ,0
66,1/4/2018,7/4/2018,Typhoid ,3
67,8/4/2018,14/4/2018,Typhoid ,0
68,15/4/2018,21/4/2018,Typhoid ,1
69,22/4/2018,28/4/2018,Typhoid ,0
70,29/4/2018,5/5/2018,Typhoid ,0
71,6/5/2018,12/5/2018,Typhoid ,1
72,13/5/2018,19/5/2018,Typhoid ,0
73,20/5/2018,26/5/2018,Typhoid ,0
74,27/5/2018,2/6/2018,Typhoid ,0
75,3/6/2018,9/6/2018,Typhoid ,0
76,10/6/2018,16/6/2018,Typhoid ,1
77,17/6/2018,23/6/2018,Typhoid ,0
78,24/6/2018,30/6/2018,Typhoid ,1
79,1/7/2018,7/7/2018,Typhoid ,1
80,8/7/2018,14/7/2018,Typhoid ,1
81,15/7/2018,21/7/2018,Typhoid ,2
82,22/7/2018,28/7/2018,Typhoid ,1
83,29/7/2018,4/8/2018,Typhoid ,0
84,5/8/2018,11/8/2018,Typhoid ,2
85,12/8/2018,18/8/2018,Typhoid ,2
86,19/8/2018,25/8/2018,Typhoid ,2
87,26/8/2018,1/9/2018,Typhoid ,1
88,2/9/2018,8/9/2018,Typhoid ,2
89,9/9/2018,15/9/2018,Typhoid ,0
90,16/9/2018,22/9/2018,Typhoid ,0
91,23/9/2018,29/9/2018,Typhoid ,1
92,30/9/2018,6/10/2018,Typhoid ,0
93,7/10/2018,13/10/2018,Typhoid ,2
94,14/10/2018,20/10/2018,Typhoid ,2
95,21/10/2018,27/10/2018,Typhoid ,0
96,28/10/2018,3/11/2018,Typhoid ,3
97,4/11/2018,10/11/2018,Typhoid ,0
98,11/11/2018,17/11/2018,Typhoid ,1
99,18/11/2018,24/11/2018,Typhoid ,1
100,25/11/2018,1/12/2018,Typhoid ,2
101,2/12/2018,8/12/2018,Typhoid ,0
102,9/12/2018,15/12/2018,Typhoid ,0
103,16/12/2018,22/12/2018,Typhoid ,1
104,23/12/2018,29/12/2018,Typhoid ,0
105,30/12/2018,5/1/2019,Typhoid ,2
106,6/1/2019,12/1/2019,Typhoid ,6
107,13/1/2019,19/1/2019,Typhoid ,2
108,20/1/2019,26/1/2019,Typhoid ,2
109,27/1/2019,2/2/2019,Typhoid ,1
110,3/2/2019,9/2/2019,Typhoid ,1
111,10/2/2019,16/2/2019,Typhoid ,1
112,17/2/2019,23/2/2019,Typhoid ,0
113,24/2/2019,2/3/2019,Typhoid ,2
114,3/3/2019,9/3/2019,Typhoid ,0
115,10/3/2019,16/3/2019,Typhoid ,1
116,17/3/2019,23/3/2019,Typhoid ,1
117,24/3/2019,30/3/2019,Typhoid ,2
118,31/3/2019,6/4/2019,Typhoid ,0
119,7/4/2019,13/4/2019,Typhoid ,1
120,14/4/2019,20/4/2019,Typhoid ,0
121,21/4/2019,27/4/2019,Typhoid ,0
122,28/4/2019,4/5/2019,Typhoid ,1
123,5/5/2019,11/5/2019,Typhoid ,1
124,12/5/2019,18/5/2019,Typhoid ,2
125,19/5/2019,25/5/2019,Typhoid ,1
126,26/5/2019,1/6/2019,Typhoid ,1
127,2/6/2019,8/6/2019,Typhoid ,2
128,9/6/2019,15/6/2019,Typhoid ,1
129,16/6/2019,22/6/2019,Typhoid ,0
130,23/6/2019,29/6/2019,Typhoid ,1
131,30/6/2019,6/7/2019,Typhoid ,0
132,7/7/2019,13/7/2019,Typhoid ,0
133,14/7/2019,20/7/2019,Typhoid ,0
134,21/7/2019,27/7/2019,Typhoid ,2
135,28/7/2019,3/8/2019,Typhoid ,5
136,4/8/2019,10/8/2019,Typhoid ,11
137,11/8/2019,17/8/2019,Typhoid ,2
138,18/8/2019,24/8/2019,Typhoid ,3
139,25/8/2019,31/8/2019,Typhoid ,3
140,1/9/2019,7/9/2019,Typhoid ,0
