Country Name,Indicator Name,Year,Death Rate
Middle East & North Africa,"Death rate, crude (per 1,000 people)",1960,21.47019198
Mexico,"Death rate, crude (per 1,000 people)",1960,13.435
Marshall Islands,"Death rate, crude (per 1,000 people)",1960,16.121
Middle income,"Death rate, crude (per 1,000 people)",1960,20.39403788
North Macedonia,"Death rate, crude (per 1,000 people)",1960,12.966
Mali,"Death rate, crude (per 1,000 people)",1960,34.973
Malta,"Death rate, crude (per 1,000 people)",1960,8.6
Myanmar,"Death rate, crude (per 1,000 people)",1960,20.696
Middle East & North Africa (excluding high income),"Death rate, crude (per 1,000 people)",1960,21.88045155
Montenegro,"Death rate, crude (per 1,000 people)",1960,9.677
Mongolia,"Death rate, crude (per 1,000 people)",1960,24.033
Northern Mariana Islands,"Death rate, crude (per 1,000 people)",1960,
Mozambique,"Death rate, crude (per 1,000 people)",1960,23.183
Mauritania,"Death rate, crude (per 1,000 people)",1960,19.014
Mauritius,"Death rate, crude (per 1,000 people)",1960,12.31
Malawi,"Death rate, crude (per 1,000 people)",1960,29.739
Malaysia,"Death rate, crude (per 1,000 people)",1960,11.344
North America,"Death rate, crude (per 1,000 people)",1960,9.346805878
Namibia,"Death rate, crude (per 1,000 people)",1960,18.247
New Caledonia,"Death rate, crude (per 1,000 people)",1960,10.1
Niger,"Death rate, crude (per 1,000 people)",1960,27.566
Nigeria,"Death rate, crude (per 1,000 people)",1960,26.235
Nicaragua,"Death rate, crude (per 1,000 people)",1960,18.906
Netherlands,"Death rate, crude (per 1,000 people)",1960,7.6
Norway,"Death rate, crude (per 1,000 people)",1960,9.1
Nepal,"Death rate, crude (per 1,000 people)",1960,24.851
Nauru,"Death rate, crude (per 1,000 people)",1960,11.139
New Zealand,"Death rate, crude (per 1,000 people)",1960,8.79
OECD members,"Death rate, crude (per 1,000 people)",1960,10.2399914
Oman,"Death rate, crude (per 1,000 people)",1960,30.49
Other small states,"Death rate, crude (per 1,000 people)",1960,15.03638436
Pakistan,"Death rate, crude (per 1,000 people)",1960,20.909
Panama,"Death rate, crude (per 1,000 people)",1960,9.941
Peru,"Death rate, crude (per 1,000 people)",1960,17.229
Philippines,"Death rate, crude (per 1,000 people)",1960,10.47
Palau,"Death rate, crude (per 1,000 people)",1960,
Papua New Guinea,"Death rate, crude (per 1,000 people)",1960,16.888
Poland,"Death rate, crude (per 1,000 people)",1960,7.6
Pre-demographic dividend,"Death rate, crude (per 1,000 people)",1960,24.61452114
Puerto Rico,"Death rate, crude (per 1,000 people)",1960,6.7
"Korea, Dem. People's Rep.","Death rate, crude (per 1,000 people)",1960,11.909
Portugal,"Death rate, crude (per 1,000 people)",1960,10.7
Paraguay,"Death rate, crude (per 1,000 people)",1960,10.255
West Bank and Gaza,"Death rate, crude (per 1,000 people)",1960,
Pacific island small states,"Death rate, crude (per 1,000 people)",1960,13.03497453
Post-demographic dividend,"Death rate, crude (per 1,000 people)",1960,9.646961674
French Polynesia,"Death rate, crude (per 1,000 people)",1960,9.628
Qatar,"Death rate, crude (per 1,000 people)",1960,11.243
Romania,"Death rate, crude (per 1,000 people)",1960,8.7
Russian Federation,"Death rate, crude (per 1,000 people)",1960,7.594
Rwanda,"Death rate, crude (per 1,000 people)",1960,19.195
South Asia,"Death rate, crude (per 1,000 people)",1960,20.01299765
Saudi Arabia,"Death rate, crude (per 1,000 people)",1960,20.963
Sudan,"Death rate, crude (per 1,000 people)",1960,18.09
Senegal,"Death rate, crude (per 1,000 people)",1960,24.944
Singapore,"Death rate, crude (per 1,000 people)",1960,6.2
Solomon Islands,"Death rate, crude (per 1,000 people)",1960,17.071
Sierra Leone,"Death rate, crude (per 1,000 people)",1960,30.608
El Salvador,"Death rate, crude (per 1,000 people)",1960,17.996
San Marino,"Death rate, crude (per 1,000 people)",1960,
Somalia,"Death rate, crude (per 1,000 people)",1960,21.131
Serbia,"Death rate, crude (per 1,000 people)",1960,8.828
Sub-Saharan Africa (excluding high income),"Death rate, crude (per 1,000 people)",1960,23.24166994
South Sudan,"Death rate, crude (per 1,000 people)",1960,36.098
Sub-Saharan Africa,"Death rate, crude (per 1,000 people)",1960,23.24166994
Small states,"Death rate, crude (per 1,000 people)",1960,14.02777494
Sao Tome and Principe,"Death rate, crude (per 1,000 people)",1960,22.169
Suriname,"Death rate, crude (per 1,000 people)",1960,12.051
Slovak Republic,"Death rate, crude (per 1,000 people)",1960,7.8
Slovenia,"Death rate, crude (per 1,000 people)",1960,9.6
Sweden,"Death rate, crude (per 1,000 people)",1960,10.0
Eswatini,"Death rate, crude (per 1,000 people)",1960,18.871
Sint Maarten (Dutch part),"Death rate, crude (per 1,000 people)",1960,11.005
Seychelles,"Death rate, crude (per 1,000 people)",1960,
Syrian Arab Republic,"Death rate, crude (per 1,000 people)",1960,16.314
Turks and Caicos Islands,"Death rate, crude (per 1,000 people)",1960,15.065
Chad,"Death rate, crude (per 1,000 people)",1960,26.335
East Asia & Pacific (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960,23.06468462
Europe & Central Asia (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960,9.475538617
Togo,"Death rate, crude (per 1,000 people)",1960,22.426
Thailand,"Death rate, crude (per 1,000 people)",1960,14.737
Tajikistan,"Death rate, crude (per 1,000 people)",1960,16.625
Turkmenistan,"Death rate, crude (per 1,000 people)",1960,17.041
Latin America & the Caribbean (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960,13.5236457
Timor-Leste,"Death rate, crude (per 1,000 people)",1960,30.571
Middle East & North Africa (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960,21.88045155
Tonga,"Death rate, crude (per 1,000 people)",1960,10.716
South Asia (IDA & IBRD),"Death rate, crude (per 1,000 people)",1960,20.01299765
Sub-Saharan Africa (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960,23.24166994
Trinidad and Tobago,"Death rate, crude (per 1,000 people)",1960,8.037
Tunisia,"Death rate, crude (per 1,000 people)",1960,21.537
Turkiye,"Death rate, crude (per 1,000 people)",1960,17.766
Tuvalu,"Death rate, crude (per 1,000 people)",1960,19.042
Tanzania,"Death rate, crude (per 1,000 people)",1960,20.985
Uganda,"Death rate, crude (per 1,000 people)",1960,19.285
Ukraine,"Death rate, crude (per 1,000 people)",1960,7.512
Upper middle income,"Death rate, crude (per 1,000 people)",1960,20.85761025
Uruguay,"Death rate, crude (per 1,000 people)",1960,9.727
United States,"Death rate, crude (per 1,000 people)",1960,9.5
Uzbekistan,"Death rate, crude (per 1,000 people)",1960,14.995
St. Vincent and the Grenadines,"Death rate, crude (per 1,000 people)",1960,14.492
"Venezuela, RB","Death rate, crude (per 1,000 people)",1960,9.938
British Virgin Islands,"Death rate, crude (per 1,000 people)",1960,12.523
Virgin Islands (U.S.),"Death rate, crude (per 1,000 people)",1960,10.0
Viet Nam,"Death rate, crude (per 1,000 people)",1960,11.467
Vanuatu,"Death rate, crude (per 1,000 people)",1960,16.655
World,"Death rate, crude (per 1,000 people)",1960,17.23412549
Samoa,"Death rate, crude (per 1,000 people)",1960,12.747
Kosovo,"Death rate, crude (per 1,000 people)",1960,10.631
"Yemen, Rep.","Death rate, crude (per 1,000 people)",1960,33.038
South Africa,"Death rate, crude (per 1,000 people)",1960,14.073
Zambia,"Death rate, crude (per 1,000 people)",1960,17.285
Zimbabwe,"Death rate, crude (per 1,000 people)",1960,14.221
Aruba,"Death rate, crude (per 1,000 people)",1961,6.456
Africa Eastern and Southern,"Death rate, crude (per 1,000 people)",1961,20.68140371
Afghanistan,"Death rate, crude (per 1,000 people)",1961,31.349
Africa Western and Central,"Death rate, crude (per 1,000 people)",1961,26.09376934
Angola,"Death rate, crude (per 1,000 people)",1961,27.483
Albania,"Death rate, crude (per 1,000 people)",1961,15.735
Andorra,"Death rate, crude (per 1,000 people)",1961,
Arab World,"Death rate, crude (per 1,000 people)",1961,20.5955636
United Arab Emirates,"Death rate, crude (per 1,000 people)",1961,14.963
Argentina,"Death rate, crude (per 1,000 people)",1961,8.724
Armenia,"Death rate, crude (per 1,000 people)",1961,11.715
American Samoa,"Death rate, crude (per 1,000 people)",1961,
Antigua and Barbuda,"Death rate, crude (per 1,000 people)",1961,9.154
Australia,"Death rate, crude (per 1,000 people)",1961,8.5
Austria,"Death rate, crude (per 1,000 people)",1961,12.1
Azerbaijan,"Death rate, crude (per 1,000 people)",1961,14.498
Burundi,"Death rate, crude (per 1,000 people)",1961,21.409
Belgium,"Death rate, crude (per 1,000 people)",1961,11.6
Benin,"Death rate, crude (per 1,000 people)",1961,28.142
Burkina Faso,"Death rate, crude (per 1,000 people)",1961,26.912
Bangladesh,"Death rate, crude (per 1,000 people)",1961,20.509
Bulgaria,"Death rate, crude (per 1,000 people)",1961,7.9
Bahrain,"Death rate, crude (per 1,000 people)",1961,14.72
"Bahamas, The","Death rate, crude (per 1,000 people)",1961,8.098
Bosnia and Herzegovina,"Death rate, crude (per 1,000 people)",1961,9.105
Belarus,"Death rate, crude (per 1,000 people)",1961,7.574
Belize,"Death rate, crude (per 1,000 people)",1961,15.079
Bermuda,"Death rate, crude (per 1,000 people)",1961,
Bolivia,"Death rate, crude (per 1,000 people)",1961,22.637
Brazil,"Death rate, crude (per 1,000 people)",1961,13.662
Barbados,"Death rate, crude (per 1,000 people)",1961,9.194
Brunei Darussalam,"Death rate, crude (per 1,000 people)",1961,10.73
Bhutan,"Death rate, crude (per 1,000 people)",1961,29.361
Botswana,"Death rate, crude (per 1,000 people)",1961,16.301
Central African Republic,"Death rate, crude (per 1,000 people)",1961,24.9
Canada,"Death rate, crude (per 1,000 people)",1961,7.7
Central Europe and the Baltics,"Death rate, crude (per 1,000 people)",1961,8.49502251
Switzerland,"Death rate, crude (per 1,000 people)",1961,9.4
Channel Islands,"Death rate, crude (per 1,000 people)",1961,13.33635745
Chile,"Death rate, crude (per 1,000 people)",1961,10.748
China,"Death rate, crude (per 1,000 people)",1961,14.24
Cote d'Ivoire,"Death rate, crude (per 1,000 people)",1961,26.332
Cameroon,"Death rate, crude (per 1,000 people)",1961,28.151
"Congo, Dem. Rep.","Death rate, crude (per 1,000 people)",1961,23.642
"Congo, Rep.","Death rate, crude (per 1,000 people)",1961,17.09
Colombia,"Death rate, crude (per 1,000 people)",1961,11.477
Comoros,"Death rate, crude (per 1,000 people)",1961,24.68
Cabo Verde,"Death rate, crude (per 1,000 people)",1961,17.847
Costa Rica,"Death rate, crude (per 1,000 people)",1961,9.926
Caribbean small states,"Death rate, crude (per 1,000 people)",1961,11.12989595
Cuba,"Death rate, crude (per 1,000 people)",1961,8.545
Curacao,"Death rate, crude (per 1,000 people)",1961,7.93
Cayman Islands,"Death rate, crude (per 1,000 people)",1961,
Cyprus,"Death rate, crude (per 1,000 people)",1961,9.814
Czechia,"Death rate, crude (per 1,000 people)",1961,9.9
Germany,"Death rate, crude (per 1,000 people)",1961,11.6
Djibouti,"Death rate, crude (per 1,000 people)",1961,20.006
Dominica,"Death rate, crude (per 1,000 people)",1961,12.858
Denmark,"Death rate, crude (per 1,000 people)",1961,9.4
Dominican Republic,"Death rate, crude (per 1,000 people)",1961,16.33
Algeria,"Death rate, crude (per 1,000 people)",1961,23.723
East Asia & Pacific (excluding high income),"Death rate, crude (per 1,000 people)",1961,14.47737571
Early-demographic dividend,"Death rate, crude (per 1,000 people)",1961,18.54211988
East Asia & Pacific,"Death rate, crude (per 1,000 people)",1961,13.58851383
Europe & Central Asia (excluding high income),"Death rate, crude (per 1,000 people)",1961,11.62109912
Europe & Central Asia,"Death rate, crude (per 1,000 people)",1961,9.944350109
Ecuador,"Death rate, crude (per 1,000 people)",1961,14.977
"Egypt, Arab Rep.","Death rate, crude (per 1,000 people)",1961,20.738
Euro area,"Death rate, crude (per 1,000 people)",1961,10.23792835
Eritrea,"Death rate, crude (per 1,000 people)",1961,25.289
Spain,"Death rate, crude (per 1,000 people)",1961,8.3
Estonia,"Death rate, crude (per 1,000 people)",1961,10.6
Ethiopia,"Death rate, crude (per 1,000 people)",1961,22.865
European Union,"Death rate, crude (per 1,000 people)",1961,9.840790267
Fragile and conflict affected situations,"Death rate, crude (per 1,000 people)",1961,20.42565341
Finland,"Death rate, crude (per 1,000 people)",1961,9.1
Fiji,"Death rate, crude (per 1,000 people)",1961,10.146
France,"Death rate, crude (per 1,000 people)",1961,11.3
Faroe Islands,"Death rate, crude (per 1,000 people)",1961,
"Micronesia, Fed. Sts.","Death rate, crude (per 1,000 people)",1961,11.938
Gabon,"Death rate, crude (per 1,000 people)",1961,20.315
United Kingdom,"Death rate, crude (per 1,000 people)",1961,12.0
Georgia,"Death rate, crude (per 1,000 people)",1961,12.506
Ghana,"Death rate, crude (per 1,000 people)",1961,18.668
Gibraltar,"Death rate, crude (per 1,000 people)",1961,8.693
Guinea,"Death rate, crude (per 1,000 people)",1961,28.144
"Gambia, The","Death rate, crude (per 1,000 people)",1961,28.5
Guinea-Bissau,"Death rate, crude (per 1,000 people)",1961,27.0
Equatorial Guinea,"Death rate, crude (per 1,000 people)",1961,23.37
Greece,"Death rate, crude (per 1,000 people)",1961,7.6
Grenada,"Death rate, crude (per 1,000 people)",1961,10.738
Greenland,"Death rate, crude (per 1,000 people)",1961,
Guatemala,"Death rate, crude (per 1,000 people)",1961,18.396
Guam,"Death rate, crude (per 1,000 people)",1961,6.317
Guyana,"Death rate, crude (per 1,000 people)",1961,10.637
High income,"Death rate, crude (per 1,000 people)",1961,9.305747902
"Hong Kong SAR, China","Death rate, crude (per 1,000 people)",1961,6.1
Honduras,"Death rate, crude (per 1,000 people)",1961,17.976
Heavily indebted poor countries (HIPC),"Death rate, crude (per 1,000 people)",1961,23.53745503
Croatia,"Death rate, crude (per 1,000 people)",1961,9.1
Haiti,"Death rate, crude (per 1,000 people)",1961,20.887
Hungary,"Death rate, crude (per 1,000 people)",1961,9.6
IBRD only,"Death rate, crude (per 1,000 people)",1961,14.89994632
IDA & IBRD total,"Death rate, crude (per 1,000 people)",1961,16.14019167
IDA total,"Death rate, crude (per 1,000 people)",1961,22.05280282
IDA blend,"Death rate, crude (per 1,000 people)",1961,21.82345292
Indonesia,"Death rate, crude (per 1,000 people)",1961,17.641
IDA only,"Death rate, crude (per 1,000 people)",1961,22.1541365
Isle of Man,"Death rate, crude (per 1,000 people)",1961,17.589
India,"Death rate, crude (per 1,000 people)",1961,19.446
Not classified,"Death rate, crude (per 1,000 people)",1961,
Ireland,"Death rate, crude (per 1,000 people)",1961,12.3
"Iran, Islamic Rep.","Death rate, crude (per 1,000 people)",1961,22.268
Iraq,"Death rate, crude (per 1,000 people)",1961,13.788
Iceland,"Death rate, crude (per 1,000 people)",1961,7.0
Israel,"Death rate, crude (per 1,000 people)",1961,5.8
Italy,"Death rate, crude (per 1,000 people)",1961,9.3
Jamaica,"Death rate, crude (per 1,000 people)",1961,8.796
Jordan,"Death rate, crude (per 1,000 people)",1961,14.996
Japan,"Death rate, crude (per 1,000 people)",1961,7.4
Kazakhstan,"Death rate, crude (per 1,000 people)",1961,12.538
Kenya,"Death rate, crude (per 1,000 people)",1961,17.869
Kyrgyz Republic,"Death rate, crude (per 1,000 people)",1961,15.921
Cambodia,"Death rate, crude (per 1,000 people)",1961,20.439
Kiribati,"Death rate, crude (per 1,000 people)",1961,18.901
St. Kitts and Nevis,"Death rate, crude (per 1,000 people)",1961,15.198
"Korea, Rep.","Death rate, crude (per 1,000 people)",1961,12.255
Kuwait,"Death rate, crude (per 1,000 people)",1961,10.818
Latin America & Caribbean (excluding high income),"Death rate, crude (per 1,000 people)",1961,13.32254908
Lao PDR,"Death rate, crude (per 1,000 people)",1961,22.452
Lebanon,"Death rate, crude (per 1,000 people)",1961,9.5
Liberia,"Death rate, crude (per 1,000 people)",1961,25.683
Libya,"Death rate, crude (per 1,000 people)",1961,24.413
St. Lucia,"Death rate, crude (per 1,000 people)",1961,13.391
Latin America & Caribbean,"Death rate, crude (per 1,000 people)",1961,12.91390454
Least developed countries: UN classification,"Death rate, crude (per 1,000 people)",1961,23.16662143
Low income,"Death rate, crude (per 1,000 people)",1961,23.38225779
Liechtenstein,"Death rate, crude (per 1,000 people)",1961,7.8
Sri Lanka,"Death rate, crude (per 1,000 people)",1961,10.507
Lower middle income,"Death rate, crude (per 1,000 people)",1961,19.41188308
Low & middle income,"Death rate, crude (per 1,000 people)",1961,16.86416458
Lesotho,"Death rate, crude (per 1,000 people)",1961,17.175
Late-demographic dividend,"Death rate, crude (per 1,000 people)",1961,12.87060022
Lithuania,"Death rate, crude (per 1,000 people)",1961,7.9
Luxembourg,"Death rate, crude (per 1,000 people)",1961,11.4
Latvia,"Death rate, crude (per 1,000 people)",1961,10.1
"Macao SAR, China","Death rate, crude (per 1,000 people)",1961,8.613
St. Martin (French part),"Death rate, crude (per 1,000 people)",1961,6.755
Morocco,"Death rate, crude (per 1,000 people)",1961,21.213
Monaco,"Death rate, crude (per 1,000 people)",1961,
Moldova,"Death rate, crude (per 1,000 people)",1961,10.731
Madagascar,"Death rate, crude (per 1,000 people)",1961,21.139
Maldives,"Death rate, crude (per 1,000 people)",1961,26.525
Middle East & North Africa,"Death rate, crude (per 1,000 people)",1961,20.82380656
Mexico,"Death rate, crude (per 1,000 people)",1961,12.844
Marshall Islands,"Death rate, crude (per 1,000 people)",1961,15.623
Middle income,"Death rate, crude (per 1,000 people)",1961,16.41272004
North Macedonia,"Death rate, crude (per 1,000 people)",1961,11.946
Mali,"Death rate, crude (per 1,000 people)",1961,34.912
Malta,"Death rate, crude (per 1,000 people)",1961,9.0
Myanmar,"Death rate, crude (per 1,000 people)",1961,20.241
Middle East & North Africa (excluding high income),"Death rate, crude (per 1,000 people)",1961,21.21702248
Montenegro,"Death rate, crude (per 1,000 people)",1961,9.397
Mongolia,"Death rate, crude (per 1,000 people)",1961,23.502
Northern Mariana Islands,"Death rate, crude (per 1,000 people)",1961,
Mozambique,"Death rate, crude (per 1,000 people)",1961,22.928
Mauritania,"Death rate, crude (per 1,000 people)",1961,18.62
