,Country Name,Indicator Name,Year,Death Rate
46,Comoros,"Death rate, crude (per 1,000 people)",1960-01-01,25.08
47,Cabo Verde,"Death rate, crude (per 1,000 people)",1960-01-01,18.469
48,Costa Rica,"Death rate, crude (per 1,000 people)",1960-01-01,10.232
49,Caribbean small states,"Death rate, crude (per 1,000 people)",1960-01-01,11.38513894
50,Cuba,"Death rate, crude (per 1,000 people)",1960-01-01,8.629
51,Curacao,"Death rate, crude (per 1,000 people)",1960-01-01,8.087
52,Cayman Islands,"Death rate, crude (per 1,000 people)",1960-01-01,
53,Cyprus,"Death rate, crude (per 1,000 people)",1960-01-01,10.025
54,Czechia,"Death rate, crude (per 1,000 people)",1960-01-01,9.8
55,Germany,"Death rate, crude (per 1,000 people)",1960-01-01,12.0
56,Djibouti,"Death rate, crude (per 1,000 people)",1960-01-01,20.192
57,Dominica,"Death rate, crude (per 1,000 people)",1960-01-01,14.029
58,Denmark,"Death rate, crude (per 1,000 people)",1960-01-01,9.5
59,Dominican Republic,"Death rate, crude (per 1,000 people)",1960-01-01,16.894
60,Algeria,"Death rate, crude (per 1,000 people)",1960-01-01,23.785
61,East Asia & Pacific (excluding high income),"Death rate, crude (per 1,000 people)",1960-01-01,22.91969953
62,Early-demographic dividend,"Death rate, crude (per 1,000 people)",1960-01-01,18.90297211
63,East Asia & Pacific,"Death rate, crude (per 1,000 people)",1960-01-01,20.88635318
64,Europe & Central Asia (excluding high income),"Death rate, crude (per 1,000 people)",1960-01-01,11.85125135
65,Europe & Central Asia,"Death rate, crude (per 1,000 people)",1960-01-01,10.06180082
66,Ecuador,"Death rate, crude (per 1,000 people)",1960-01-01,15.371
67,"Egypt, Arab Rep.","Death rate, crude (per 1,000 people)",1960-01-01,21.364
68,Euro area,"Death rate, crude (per 1,000 people)",1960-01-01,10.48332848
69,Eritrea,"Death rate, crude (per 1,000 people)",1960-01-01,25.715
70,Spain,"Death rate, crude (per 1,000 people)",1960-01-01,8.6
71,Estonia,"Death rate, crude (per 1,000 people)",1960-01-01,10.5
72,Ethiopia,"Death rate, crude (per 1,000 people)",1960-01-01,23.349
73,European Union,"Death rate, crude (per 1,000 people)",1960-01-01,10.0503751
74,Fragile and conflict affected situations,"Death rate, crude (per 1,000 people)",1960-01-01,20.64740519
75,Finland,"Death rate, crude (per 1,000 people)",1960-01-01,9.0
76,Fiji,"Death rate, crude (per 1,000 people)",1960-01-01,10.728
77,France,"Death rate, crude (per 1,000 people)",1960-01-01,11.4
78,Faroe Islands,"Death rate, crude (per 1,000 people)",1960-01-01,
79,"Micronesia, Fed. Sts.","Death rate, crude (per 1,000 people)",1960-01-01,12.386
80,Gabon,"Death rate, crude (per 1,000 people)",1960-01-01,20.64
81,United Kingdom,"Death rate, crude (per 1,000 people)",1960-01-01,11.5
82,Georgia,"Death rate, crude (per 1,000 people)",1960-01-01,12.684
83,Ghana,"Death rate, crude (per 1,000 people)",1960-01-01,18.998
84,Gibraltar,"Death rate, crude (per 1,000 people)",1960-01-01,8.564
85,Guinea,"Death rate, crude (per 1,000 people)",1960-01-01,28.389
86,"Gambia, The","Death rate, crude (per 1,000 people)",1960-01-01,28.943
87,Guinea-Bissau,"Death rate, crude (per 1,000 people)",1960-01-01,27.099
88,Equatorial Guinea,"Death rate, crude (per 1,000 people)",1960-01-01,23.669
89,Greece,"Death rate, crude (per 1,000 people)",1960-01-01,7.3
90,Grenada,"Death rate, crude (per 1,000 people)",1960-01-01,11.431
91,Greenland,"Death rate, crude (per 1,000 people)",1960-01-01,
92,Guatemala,"Death rate, crude (per 1,000 people)",1960-01-01,18.949
93,Guam,"Death rate, crude (per 1,000 people)",1960-01-01,6.443
94,Guyana,"Death rate, crude (per 1,000 people)",1960-01-01,10.915
95,High income,"Death rate, crude (per 1,000 people)",1960-01-01,9.446486221
96,"Hong Kong SAR, China","Death rate, crude (per 1,000 people)",1960-01-01,6.427
97,Honduras,"Death rate, crude (per 1,000 people)",1960-01-01,18.449
98,Heavily indebted poor countries (HIPC),"Death rate, crude (per 1,000 people)",1960-01-01,23.8185871
99,Croatia,"Death rate, crude (per 1,000 people)",1960-01-01,10.0
100,Haiti,"Death rate, crude (per 1,000 people)",1960-01-01,21.263
101,Hungary,"Death rate, crude (per 1,000 people)",1960-01-01,10.2
102,IBRD only,"Death rate, crude (per 1,000 people)",1960-01-01,18.98485336
103,IDA & IBRD total,"Death rate, crude (per 1,000 people)",1960-01-01,19.58443437
104,IDA total,"Death rate, crude (per 1,000 people)",1960-01-01,22.48126783
105,IDA blend,"Death rate, crude (per 1,000 people)",1960-01-01,22.32326016
106,Indonesia,"Death rate, crude (per 1,000 people)",1960-01-01,18.024
107,IDA only,"Death rate, crude (per 1,000 people)",1960-01-01,22.55112105
108,Isle of Man,"Death rate, crude (per 1,000 people)",1960-01-01,16.917
109,India,"Death rate, crude (per 1,000 people)",1960-01-01,19.633
110,Not classified,"Death rate, crude (per 1,000 people)",1960-01-01,
111,Ireland,"Death rate, crude (per 1,000 people)",1960-01-01,11.5
112,"Iran, Islamic Rep.","Death rate, crude (per 1,000 people)",1960-01-01,23.053
113,Iraq,"Death rate, crude (per 1,000 people)",1960-01-01,13.894
114,Iceland,"Death rate, crude (per 1,000 people)",1960-01-01,6.6
115,Israel,"Death rate, crude (per 1,000 people)",1960-01-01,5.7
116,Italy,"Death rate, crude (per 1,000 people)",1960-01-01,9.6
117,Jamaica,"Death rate, crude (per 1,000 people)",1960-01-01,8.838
118,Jordan,"Death rate, crude (per 1,000 people)",1960-01-01,15.744
119,Japan,"Death rate, crude (per 1,000 people)",1960-01-01,7.6
120,Kazakhstan,"Death rate, crude (per 1,000 people)",1960-01-01,12.763
121,Kenya,"Death rate, crude (per 1,000 people)",1960-01-01,18.647
122,Kyrgyz Republic,"Death rate, crude (per 1,000 people)",1960-01-01,16.28
123,Cambodia,"Death rate, crude (per 1,000 people)",1960-01-01,20.951
124,Kiribati,"Death rate, crude (per 1,000 people)",1960-01-01,19.411
125,St. Kitts and Nevis,"Death rate, crude (per 1,000 people)",1960-01-01,15.244
126,"Korea, Rep.","Death rate, crude (per 1,000 people)",1960-01-01,12.663
127,Kuwait,"Death rate, crude (per 1,000 people)",1960-01-01,11.561
128,Latin America & Caribbean (excluding high income),"Death rate, crude (per 1,000 people)",1960-01-01,13.70407624
129,Lao PDR,"Death rate, crude (per 1,000 people)",1960-01-01,22.677
130,Lebanon,"Death rate, crude (per 1,000 people)",1960-01-01,9.837
131,Liberia,"Death rate, crude (per 1,000 people)",1960-01-01,25.588
132,Libya,"Death rate, crude (per 1,000 people)",1960-01-01,25.985
133,St. Lucia,"Death rate, crude (per 1,000 people)",1960-01-01,14.175
134,Latin America & Caribbean,"Death rate, crude (per 1,000 people)",1960-01-01,13.27968954
135,Least developed countries: UN classification,"Death rate, crude (per 1,000 people)",1960-01-01,23.51792275
136,Low income,"Death rate, crude (per 1,000 people)",1960-01-01,23.66302403
137,Liechtenstein,"Death rate, crude (per 1,000 people)",1960-01-01,7.5
138,Sri Lanka,"Death rate, crude (per 1,000 people)",1960-01-01,11.09
139,Lower middle income,"Death rate, crude (per 1,000 people)",1960-01-01,19.75098726
140,Low & middle income,"Death rate, crude (per 1,000 people)",1960-01-01,20.60383077
141,Lesotho,"Death rate, crude (per 1,000 people)",1960-01-01,17.377
142,Late-demographic dividend,"Death rate, crude (per 1,000 people)",1960-01-01,19.81333797
143,Lithuania,"Death rate, crude (per 1,000 people)",1960-01-01,7.8
144,Luxembourg,"Death rate, crude (per 1,000 people)",1960-01-01,11.8
145,Latvia,"Death rate, crude (per 1,000 people)",1960-01-01,10.0
146,"Macao SAR, China","Death rate, crude (per 1,000 people)",1960-01-01,8.721
147,St. Martin (French part),"Death rate, crude (per 1,000 people)",1960-01-01,6.714
148,Morocco,"Death rate, crude (per 1,000 people)",1960-01-01,22.745
149,Monaco,"Death rate, crude (per 1,000 people)",1960-01-01,
150,Moldova,"Death rate, crude (per 1,000 people)",1960-01-01,11.003
151,Madagascar,"Death rate, crude (per 1,000 people)",1960-01-01,21.524
152,Maldives,"Death rate, crude (per 1,000 people)",1960-01-01,26.776
153,Middle East & North Africa,"Death rate, crude (per 1,000 people)",1960-01-01,21.47019198
154,Mexico,"Death rate, crude (per 1,000 people)",1960-01-01,13.435
155,Marshall Islands,"Death rate, crude (per 1,000 people)",1960-01-01,16.121
156,Middle income,"Death rate, crude (per 1,000 people)",1960-01-01,20.39403788
157,North Macedonia,"Death rate, crude (per 1,000 people)",1960-01-01,12.966
158,Mali,"Death rate, crude (per 1,000 people)",1960-01-01,34.973
159,Malta,"Death rate, crude (per 1,000 people)",1960-01-01,8.6
160,Myanmar,"Death rate, crude (per 1,000 people)",1960-01-01,20.696
161,Middle East & North Africa (excluding high income),"Death rate, crude (per 1,000 people)",1960-01-01,21.88045155
162,Montenegro,"Death rate, crude (per 1,000 people)",1960-01-01,9.677
163,Mongolia,"Death rate, crude (per 1,000 people)",1960-01-01,24.033
164,Northern Mariana Islands,"Death rate, crude (per 1,000 people)",1960-01-01,
165,Mozambique,"Death rate, crude (per 1,000 people)",1960-01-01,23.183
166,Mauritania,"Death rate, crude (per 1,000 people)",1960-01-01,19.014
167,Mauritius,"Death rate, crude (per 1,000 people)",1960-01-01,12.31
168,Malawi,"Death rate, crude (per 1,000 people)",1960-01-01,29.739
169,Malaysia,"Death rate, crude (per 1,000 people)",1960-01-01,11.344
170,North America,"Death rate, crude (per 1,000 people)",1960-01-01,9.346805878
171,Namibia,"Death rate, crude (per 1,000 people)",1960-01-01,18.247
172,New Caledonia,"Death rate, crude (per 1,000 people)",1960-01-01,10.1
173,Niger,"Death rate, crude (per 1,000 people)",1960-01-01,27.566
174,Nigeria,"Death rate, crude (per 1,000 people)",1960-01-01,26.235
175,Nicaragua,"Death rate, crude (per 1,000 people)",1960-01-01,18.906
176,Netherlands,"Death rate, crude (per 1,000 people)",1960-01-01,7.6
177,Norway,"Death rate, crude (per 1,000 people)",1960-01-01,9.1
178,Nepal,"Death rate, crude (per 1,000 people)",1960-01-01,24.851
179,Nauru,"Death rate, crude (per 1,000 people)",1960-01-01,11.139
180,New Zealand,"Death rate, crude (per 1,000 people)",1960-01-01,8.79
181,OECD members,"Death rate, crude (per 1,000 people)",1960-01-01,10.2399914
182,Oman,"Death rate, crude (per 1,000 people)",1960-01-01,30.49
183,Other small states,"Death rate, crude (per 1,000 people)",1960-01-01,15.03638436
184,Pakistan,"Death rate, crude (per 1,000 people)",1960-01-01,20.909
185,Panama,"Death rate, crude (per 1,000 people)",1960-01-01,9.941
186,Peru,"Death rate, crude (per 1,000 people)",1960-01-01,17.229
187,Philippines,"Death rate, crude (per 1,000 people)",1960-01-01,10.47
188,Palau,"Death rate, crude (per 1,000 people)",1960-01-01,
189,Papua New Guinea,"Death rate, crude (per 1,000 people)",1960-01-01,16.888
190,Poland,"Death rate, crude (per 1,000 people)",1960-01-01,7.6
191,Pre-demographic dividend,"Death rate, crude (per 1,000 people)",1960-01-01,24.61452114
192,Puerto Rico,"Death rate, crude (per 1,000 people)",1960-01-01,6.7
193,"Korea, Dem. People's Rep.","Death rate, crude (per 1,000 people)",1960-01-01,11.909
194,Portugal,"Death rate, crude (per 1,000 people)",1960-01-01,10.7
195,Paraguay,"Death rate, crude (per 1,000 people)",1960-01-01,10.255
196,West Bank and Gaza,"Death rate, crude (per 1,000 people)",1960-01-01,
197,Pacific island small states,"Death rate, crude (per 1,000 people)",1960-01-01,13.03497453
198,Post-demographic dividend,"Death rate, crude (per 1,000 people)",1960-01-01,9.646961674
199,French Polynesia,"Death rate, crude (per 1,000 people)",1960-01-01,9.628
200,Qatar,"Death rate, crude (per 1,000 people)",1960-01-01,11.243
201,Romania,"Death rate, crude (per 1,000 people)",1960-01-01,8.7
202,Russian Federation,"Death rate, crude (per 1,000 people)",1960-01-01,7.594
203,Rwanda,"Death rate, crude (per 1,000 people)",1960-01-01,19.195
204,South Asia,"Death rate, crude (per 1,000 people)",1960-01-01,20.01299765
205,Saudi Arabia,"Death rate, crude (per 1,000 people)",1960-01-01,20.963
206,Sudan,"Death rate, crude (per 1,000 people)",1960-01-01,18.09
207,Senegal,"Death rate, crude (per 1,000 people)",1960-01-01,24.944
208,Singapore,"Death rate, crude (per 1,000 people)",1960-01-01,6.2
209,Solomon Islands,"Death rate, crude (per 1,000 people)",1960-01-01,17.071
210,Sierra Leone,"Death rate, crude (per 1,000 people)",1960-01-01,30.608
211,El Salvador,"Death rate, crude (per 1,000 people)",1960-01-01,17.996
212,San Marino,"Death rate, crude (per 1,000 people)",1960-01-01,
213,Somalia,"Death rate, crude (per 1,000 people)",1960-01-01,21.131
214,Serbia,"Death rate, crude (per 1,000 people)",1960-01-01,8.828
215,Sub-Saharan Africa (excluding high income),"Death rate, crude (per 1,000 people)",1960-01-01,23.24166994
216,South Sudan,"Death rate, crude (per 1,000 people)",1960-01-01,36.098
217,Sub-Saharan Africa,"Death rate, crude (per 1,000 people)",1960-01-01,23.24166994
218,Small states,"Death rate, crude (per 1,000 people)",1960-01-01,14.02777494
219,Sao Tome and Principe,"Death rate, crude (per 1,000 people)",1960-01-01,22.169
220,Suriname,"Death rate, crude (per 1,000 people)",1960-01-01,12.051
221,Slovak Republic,"Death rate, crude (per 1,000 people)",1960-01-01,7.8
222,Slovenia,"Death rate, crude (per 1,000 people)",1960-01-01,9.6
223,Sweden,"Death rate, crude (per 1,000 people)",1960-01-01,10.0
224,Eswatini,"Death rate, crude (per 1,000 people)",1960-01-01,18.871
225,Sint Maarten (Dutch part),"Death rate, crude (per 1,000 people)",1960-01-01,11.005
226,Seychelles,"Death rate, crude (per 1,000 people)",1960-01-01,
227,Syrian Arab Republic,"Death rate, crude (per 1,000 people)",1960-01-01,16.314
228,Turks and Caicos Islands,"Death rate, crude (per 1,000 people)",1960-01-01,15.065
229,Chad,"Death rate, crude (per 1,000 people)",1960-01-01,26.335
230,East Asia & Pacific (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960-01-01,23.06468462
231,Europe & Central Asia (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960-01-01,9.475538617
232,Togo,"Death rate, crude (per 1,000 people)",1960-01-01,22.426
233,Thailand,"Death rate, crude (per 1,000 people)",1960-01-01,14.737
234,Tajikistan,"Death rate, crude (per 1,000 people)",1960-01-01,16.625
235,Turkmenistan,"Death rate, crude (per 1,000 people)",1960-01-01,17.041
236,Latin America & the Caribbean (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960-01-01,13.5236457
237,Timor-Leste,"Death rate, crude (per 1,000 people)",1960-01-01,30.571
238,Middle East & North Africa (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960-01-01,21.88045155
239,Tonga,"Death rate, crude (per 1,000 people)",1960-01-01,10.716
240,South Asia (IDA & IBRD),"Death rate, crude (per 1,000 people)",1960-01-01,20.01299765
241,Sub-Saharan Africa (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1960-01-01,23.24166994
242,Trinidad and Tobago,"Death rate, crude (per 1,000 people)",1960-01-01,8.037
243,Tunisia,"Death rate, crude (per 1,000 people)",1960-01-01,21.537
244,Turkiye,"Death rate, crude (per 1,000 people)",1960-01-01,17.766
245,Tuvalu,"Death rate, crude (per 1,000 people)",1960-01-01,19.042
246,Tanzania,"Death rate, crude (per 1,000 people)",1960-01-01,20.985
247,Uganda,"Death rate, crude (per 1,000 people)",1960-01-01,19.285
248,Ukraine,"Death rate, crude (per 1,000 people)",1960-01-01,7.512
249,Upper middle income,"Death rate, crude (per 1,000 people)",1960-01-01,20.85761025
250,Uruguay,"Death rate, crude (per 1,000 people)",1960-01-01,9.727
251,United States,"Death rate, crude (per 1,000 people)",1960-01-01,9.5
252,Uzbekistan,"Death rate, crude (per 1,000 people)",1960-01-01,14.995
253,St. Vincent and the Grenadines,"Death rate, crude (per 1,000 people)",1960-01-01,14.492
254,"Venezuela, RB","Death rate, crude (per 1,000 people)",1960-01-01,9.938
255,British Virgin Islands,"Death rate, crude (per 1,000 people)",1960-01-01,12.523
256,Virgin Islands (U.S.),"Death rate, crude (per 1,000 people)",1960-01-01,10.0
257,Viet Nam,"Death rate, crude (per 1,000 people)",1960-01-01,11.467
258,Vanuatu,"Death rate, crude (per 1,000 people)",1960-01-01,16.655
259,World,"Death rate, crude (per 1,000 people)",1960-01-01,17.23412549
260,Samoa,"Death rate, crude (per 1,000 people)",1960-01-01,12.747
261,Kosovo,"Death rate, crude (per 1,000 people)",1960-01-01,10.631
262,"Yemen, Rep.","Death rate, crude (per 1,000 people)",1960-01-01,33.038
263,South Africa,"Death rate, crude (per 1,000 people)",1960-01-01,14.073
264,Zambia,"Death rate, crude (per 1,000 people)",1960-01-01,17.285
265,Zimbabwe,"Death rate, crude (per 1,000 people)",1960-01-01,14.221
266,Aruba,"Death rate, crude (per 1,000 people)",1961-01-01,6.456
267,Africa Eastern and Southern,"Death rate, crude (per 1,000 people)",1961-01-01,20.68140371
268,Afghanistan,"Death rate, crude (per 1,000 people)",1961-01-01,31.349
269,Africa Western and Central,"Death rate, crude (per 1,000 people)",1961-01-01,26.09376934
270,Angola,"Death rate, crude (per 1,000 people)",1961-01-01,27.483
271,Albania,"Death rate, crude (per 1,000 people)",1961-01-01,15.735
272,Andorra,"Death rate, crude (per 1,000 people)",1961-01-01,
273,Arab World,"Death rate, crude (per 1,000 people)",1961-01-01,20.5955636
274,United Arab Emirates,"Death rate, crude (per 1,000 people)",1961-01-01,14.963
275,Argentina,"Death rate, crude (per 1,000 people)",1961-01-01,8.724
276,Armenia,"Death rate, crude (per 1,000 people)",1961-01-01,11.715
277,American Samoa,"Death rate, crude (per 1,000 people)",1961-01-01,
278,Antigua and Barbuda,"Death rate, crude (per 1,000 people)",1961-01-01,9.154
279,Australia,"Death rate, crude (per 1,000 people)",1961-01-01,8.5
280,Austria,"Death rate, crude (per 1,000 people)",1961-01-01,12.1
281,Azerbaijan,"Death rate, crude (per 1,000 people)",1961-01-01,14.498
282,Burundi,"Death rate, crude (per 1,000 people)",1961-01-01,21.409
283,Belgium,"Death rate, crude (per 1,000 people)",1961-01-01,11.6
284,Benin,"Death rate, crude (per 1,000 people)",1961-01-01,28.142
285,Burkina Faso,"Death rate, crude (per 1,000 people)",1961-01-01,26.912
286,Bangladesh,"Death rate, crude (per 1,000 people)",1961-01-01,20.509
287,Bulgaria,"Death rate, crude (per 1,000 people)",1961-01-01,7.9
288,Bahrain,"Death rate, crude (per 1,000 people)",1961-01-01,14.72
289,"Bahamas, The","Death rate, crude (per 1,000 people)",1961-01-01,8.098
290,Bosnia and Herzegovina,"Death rate, crude (per 1,000 people)",1961-01-01,9.105
291,Belarus,"Death rate, crude (per 1,000 people)",1961-01-01,7.574
292,Belize,"Death rate, crude (per 1,000 people)",1961-01-01,15.079
293,Bermuda,"Death rate, crude (per 1,000 people)",1961-01-01,
294,Bolivia,"Death rate, crude (per 1,000 people)",1961-01-01,22.637
295,Brazil,"Death rate, crude (per 1,000 people)",1961-01-01,13.662
296,Barbados,"Death rate, crude (per 1,000 people)",1961-01-01,9.194
297,Brunei Darussalam,"Death rate, crude (per 1,000 people)",1961-01-01,10.73
298,Bhutan,"Death rate, crude (per 1,000 people)",1961-01-01,29.361
299,Botswana,"Death rate, crude (per 1,000 people)",1961-01-01,16.301
300,Central African Republic,"Death rate, crude (per 1,000 people)",1961-01-01,24.9
301,Canada,"Death rate, crude (per 1,000 people)",1961-01-01,7.7
302,Central Europe and the Baltics,"Death rate, crude (per 1,000 people)",1961-01-01,8.49502251
303,Switzerland,"Death rate, crude (per 1,000 people)",1961-01-01,9.4
304,Channel Islands,"Death rate, crude (per 1,000 people)",1961-01-01,13.33635745
305,Chile,"Death rate, crude (per 1,000 people)",1961-01-01,10.748
306,China,"Death rate, crude (per 1,000 people)",1961-01-01,14.24
307,Cote d'Ivoire,"Death rate, crude (per 1,000 people)",1961-01-01,26.332
308,Cameroon,"Death rate, crude (per 1,000 people)",1961-01-01,28.151
309,"Congo, Dem. Rep.","Death rate, crude (per 1,000 people)",1961-01-01,23.642
310,"Congo, Rep.","Death rate, crude (per 1,000 people)",1961-01-01,17.09
311,Colombia,"Death rate, crude (per 1,000 people)",1961-01-01,11.477
312,Comoros,"Death rate, crude (per 1,000 people)",1961-01-01,24.68
313,Cabo Verde,"Death rate, crude (per 1,000 people)",1961-01-01,17.847
314,Costa Rica,"Death rate, crude (per 1,000 people)",1961-01-01,9.926
315,Caribbean small states,"Death rate, crude (per 1,000 people)",1961-01-01,11.12989595
316,Cuba,"Death rate, crude (per 1,000 people)",1961-01-01,8.545
317,Curacao,"Death rate, crude (per 1,000 people)",1961-01-01,7.93
318,Cayman Islands,"Death rate, crude (per 1,000 people)",1961-01-01,
319,Cyprus,"Death rate, crude (per 1,000 people)",1961-01-01,9.814
320,Czechia,"Death rate, crude (per 1,000 people)",1961-01-01,9.9
321,Germany,"Death rate, crude (per 1,000 people)",1961-01-01,11.6
322,Djibouti,"Death rate, crude (per 1,000 people)",1961-01-01,20.006
323,Dominica,"Death rate, crude (per 1,000 people)",1961-01-01,12.858
324,Denmark,"Death rate, crude (per 1,000 people)",1961-01-01,9.4
325,Dominican Republic,"Death rate, crude (per 1,000 people)",1961-01-01,16.33
326,Algeria,"Death rate, crude (per 1,000 people)",1961-01-01,23.723
327,East Asia & Pacific (excluding high income),"Death rate, crude (per 1,000 people)",1961-01-01,14.47737571
328,Early-demographic dividend,"Death rate, crude (per 1,000 people)",1961-01-01,18.54211988
329,East Asia & Pacific,"Death rate, crude (per 1,000 people)",1961-01-01,13.58851383
330,Europe & Central Asia (excluding high income),"Death rate, crude (per 1,000 people)",1961-01-01,11.62109912
331,Europe & Central Asia,"Death rate, crude (per 1,000 people)",1961-01-01,9.944350109
332,Ecuador,"Death rate, crude (per 1,000 people)",1961-01-01,14.977
333,"Egypt, Arab Rep.","Death rate, crude (per 1,000 people)",1961-01-01,20.738
334,Euro area,"Death rate, crude (per 1,000 people)",1961-01-01,10.23792835
335,Eritrea,"Death rate, crude (per 1,000 people)",1961-01-01,25.289
336,Spain,"Death rate, crude (per 1,000 people)",1961-01-01,8.3
337,Estonia,"Death rate, crude (per 1,000 people)",1961-01-01,10.6
338,Ethiopia,"Death rate, crude (per 1,000 people)",1961-01-01,22.865
339,European Union,"Death rate, crude (per 1,000 people)",1961-01-01,9.840790267
340,Fragile and conflict affected situations,"Death rate, crude (per 1,000 people)",1961-01-01,20.42565341
341,Finland,"Death rate, crude (per 1,000 people)",1961-01-01,9.1
342,Fiji,"Death rate, crude (per 1,000 people)",1961-01-01,10.146
343,France,"Death rate, crude (per 1,000 people)",1961-01-01,11.3
344,Faroe Islands,"Death rate, crude (per 1,000 people)",1961-01-01,
345,"Micronesia, Fed. Sts.","Death rate, crude (per 1,000 people)",1961-01-01,11.938
346,Gabon,"Death rate, crude (per 1,000 people)",1961-01-01,20.315
347,United Kingdom,"Death rate, crude (per 1,000 people)",1961-01-01,12.0
348,Georgia,"Death rate, crude (per 1,000 people)",1961-01-01,12.506
349,Ghana,"Death rate, crude (per 1,000 people)",1961-01-01,18.668
350,Gibraltar,"Death rate, crude (per 1,000 people)",1961-01-01,8.693
351,Guinea,"Death rate, crude (per 1,000 people)",1961-01-01,28.144
352,"Gambia, The","Death rate, crude (per 1,000 people)",1961-01-01,28.5
353,Guinea-Bissau,"Death rate, crude (per 1,000 people)",1961-01-01,27.0
354,Equatorial Guinea,"Death rate, crude (per 1,000 people)",1961-01-01,23.37
355,Greece,"Death rate, crude (per 1,000 people)",1961-01-01,7.6
356,Grenada,"Death rate, crude (per 1,000 people)",1961-01-01,10.738
357,Greenland,"Death rate, crude (per 1,000 people)",1961-01-01,
358,Guatemala,"Death rate, crude (per 1,000 people)",1961-01-01,18.396
359,Guam,"Death rate, crude (per 1,000 people)",1961-01-01,6.317
360,Guyana,"Death rate, crude (per 1,000 people)",1961-01-01,10.637
361,High income,"Death rate, crude (per 1,000 people)",1961-01-01,9.305747902
362,"Hong Kong SAR, China","Death rate, crude (per 1,000 people)",1961-01-01,6.1
363,Honduras,"Death rate, crude (per 1,000 people)",1961-01-01,17.976
